iter	RMSE
586	849709.3668
587	849435.2403
588	849239.9697
589	849055.9494
590	849016.8122
591	848804.993
592	848647.8783
593	848423.7231
594	848209.0767
595	848056.9589
596	847873.2034
597	847707.0367
598	847605.1736
599	847461.8895
600	847224.1829
601	846850.9807
602	846684.6896
603	846489.8089
604	846277.5907
605	846115.6518
606	845894.3689
607	845687.4297
608	845649.8386
609	845430.5301
610	845037.7416
611	844737.2236
612	844522.0792
613	844226.9531
614	844026.2917
615	843989.5527
616	843709.9594
617	843444.276
618	843219.9303
619	843047.6579
620	842894.0096
621	842680.6892
622	842574.7171
623	842404.4244
624	842225.6654
625	842028.5583
626	841751.1936
627	841559.0397
628	841206.3784
629	840912.9546
630	840653.4434
631	840474.7564
632	840271.6691
633	840151.9684
634	839939.6735
635	839691.9268
636	839504.8462
637	839271.3796
638	839057.4492
639	838900.2893
640	838604.284
641	838493.7509
642	838210.9981
643	837951.6671
644	837786.577
645	837517.6566
646	837378.2428
647	837237.5441
648	837046.8569
649	836815.946
650	836595.2832
651	836350.5312
652	836193.9944
653	836077.4279
654	835892.916
655	835545.5351
656	835281.6201
657	834918.7205
658	834682.4146
659	834469.215
660	834199.0326
661	834065.5102
662	833898.4678
663	833538.7411
664	833213.0023
665	833039.275
666	832775.5145
667	832435.0967
668	832250.5772
669	832077.7831
670	831915.6322
671	831752.3046
672	831616.3413
673	831358.7365
674	831079.9153
675	830931.0474
676	830783.6031
677	830571.3829
678	830273.0673
679	830150.4139
680	829977.9292
681	829712.8876
682	829561.3228
683	829362.143
684	829179.2756
685	829016.6059
686	828891.4669
687	828761.1817
688	828602.1864
689	828386.8215
690	828258.3342
691	827995.8211
692	827957.8563
693	827711.314
694	827600.0375
695	827468.9588
696	827346.1357
697	827247.7504
698	827140.0849
699	826927.4271
700	826669.3404
701	826507.6554
702	826384.9209
703	826240.0047
704	826127.6656
705	825930.6259
706	825669.3315
707	825512.3978
708	825385.2855
709	825151.3197
710	824941.1728
711	824812.9744
712	824670.9349
713	824537.1427
714	824396.7015
715	824194.8558
716	823984.524
717	823829.8678
718	823719.1142
719	823584.0977
720	823425.662
721	823260.4242
722	823062.684
723	822921.0007
724	822833.3132
725	822697.3882
726	822530.7933
727	822413.5338
728	822162.1206
729	821921.5605
730	821686.2776
731	821554.1997
732	821388.9394
733	821150.1709
734	821032.257
735	820883.3784
736	820852.1001
737	820703.9966
738	820652.6408
739	820409.2442
740	820219.6742
741	820061.2316
742	820011.9425
743	819895.3164
744	819868.0099
745	819844.5388
746	819738.7341
747	819591.1652
748	819544.2052
749	819390.0452
750	819254.1229
751	819232.8631
752	819080.8004
753	818942.1627
754	818790.4098
755	818742.7164
756	818513.2082
757	818340.567
758	818242.4114
759	818030.5342
760	817823.1694
761	817737.9029
762	817604.4258
763	817440.6812
764	817284.9787
765	817252.6995
766	817037.8527
767	816735.3492
768	816622.5061
769	816375.1539
770	816129.1214
771	816005.3954
772	815731.7937
773	815596.256
774	815411.0928
775	815258.5895
776	815119.5152
777	814928.6751
778	814833.7148
779	814724.0361
780	814544.0643
781	814401.423
782	814171.8055
783	814038.7773
784	813809.1661
785	813674.193
786	813491.978
787	813316.5878
788	813289.2867
789	813078.1927
790	812862.7554
791	812843.3342
792	812720.7452
793	812633.3529
794	812460.5074
795	812379.9698
796	812255.0509
797	812104.5097
798	812008.1761
799	811735.9614
800	811696.0546
801	811554.0938
802	811389.0117
803	811223.0088
804	811021.3047
805	810899.4008
806	810772.372
807	810742.038
808	810523.7832
809	810505.7445
810	810367.853
811	810349.8627
812	810122.582
813	809979.0886
814	809805.2554
815	809662.3428
816	809501.9498
817	809303.2038
818	809091.1663
819	808989.7213
820	808850.4133
821	808744.888
822	808662.3734
823	808531.0554
824	808451.9189
825	808284.838
826	808055.9803
827	807803.2027
828	807597.279
829	807461.9292
830	807350.5308
831	807136.9697
832	806917.1794
833	806801.136
834	806637.1819
835	806336.1509
836	806129.5992
837	806097.4661
838	805897.8362
839	805748.4783
840	805671.421
841	805628.6683
842	805415.0393
843	805398.6439
844	805139.7118
845	804928.0687
846	804730.5223
847	804661.0639
848	804645.0467
849	804493.5631
850	804329.5453
851	804172.6021
852	803971.6234
853	803903.7933
854	803670.4157
855	803525.7824
856	803402.1445
857	803317.7912
858	803193.0062
859	802940.0166
860	802737.6607
861	802610.019
862	802337.4121
863	802141.5284
864	801865.655
865	801701.436
866	801520.9366
867	801427.9829
868	801215.0036
869	801028.0676
870	800903.0776
871	800835.5627
872	800617.8676
873	800484.9162
874	800287.9018
875	800232.982
876	799988.1523
877	799875.1839
878	799682.7899
879	799443.2685
880	799305.148
881	799185.7652
882	799095.2566
883	798847.7362
884	798635.9646
885	798496.0483
886	798400.173
887	798231.7537
888	797993.9032
889	797764.4262
890	797599.2334
891	797526.54
892	797381.7443
893	797316.3067
894	797147.7122
895	796981.0807
896	796792.6239
897	796460.9351
898	796396.8547
899	796275.9067
900	796191.4841
901	796062.8664
902	795919.2061
903	795720.4463
904	795550.3778
905	795416.9182
906	795199.01
907	795057.4673
908	794847.1336
909	794698.8415
910	794495.8183
911	794408.7795
912	794205.6089
913	794043.4574
914	793816.4629
915	793650.4648
916	793578.8392
917	793468.12
918	793294.4025
919	793201.5646
920	793055.2378
921	792935.7455
922	792616.5532
923	792508.155
924	792379.0615
925	792174.3204
926	792040.5088
927	791614.5185
928	791575.429
929	791415.8601
930	791346.8612
931	791151.2502
932	791069.0909
933	790933.2384
934	790743.7059
935	790706.9731
936	790593.2234
937	790311.6124
938	790133.5019
939	790071.6954
940	789988.6095
941	789793.7188
942	789734.633
943	789456.1049
944	789274.3078
945	789074.7729
946	788926.6242
947	788793.9109
948	788655.5088
949	788477.1316
950	788343.8678
951	788182.1197
952	787975.2309
953	787896.3188
954	787773.1596
955	787644.9944
956	787501.7012
957	787272.9665
958	787149.3544
959	787088.438
960	786898.3012
961	786773.3998
962	786694.4137
963	786503.4153
964	786312.2109
965	786185.9803
966	785981.7616
967	785847.0126
968	785615.4946
969	785542.2798
970	785392.9519
971	785132.4432
972	785039.0813
973	784894.838
974	784785.6692
975	784693.6237
976	784552.1029
977	784408.7296
978	784209.9411
979	784003.4559
980	783752.8665
981	783502.7427
982	783369.654
983	783177.8435
984	782999.7375
985	782750.7367
986	782562.7125
987	782424.6409
988	782248.2215
989	782087.8685
990	781981.3837
991	781771.8575
992	781570.8444
993	781364.1919
994	781178.9673
995	780970.1617
996	780892.1796
997	780673.7585
998	780523.2521
999	780282.6545
